Date,China,Germany,France,Guyana,India,Italy,United States
1990,1.12116E+12,1.54869E+12,1.02636E+12,1386913361,1.07996E+12,1.05548E+12,5.96314E+12
1991,1.2668E+12,1.68285E+12,1.07219E+12,1520673999,1.12828E+12,1.10796E+12,6.15813E+12
1992,1.47986E+12,1.75462E+12,1.11416E+12,1675989396,1.21726E+12,1.14266E+12,6.52033E+12
1993,1.725E+12,1.77435E+12,1.13339E+12,1855958427,1.3053E+12,1.15976E+12,6.85856E+12
1994,1.9918E+12,1.85354E+12,1.18489E+12,2057329943,1.42194E+12,1.21E+12,7.28724E+12
1995,2.25622E+12,1.92173E+12,1.23522E+12,2206152640,1.56172E+12,1.27104E+12,7.63975E+12
1996,2.52564E+12,1.96987E+12,1.27462E+12,2425272493,1.71038E+12,1.30946E+12,8.07312E+12
1997,2.80635E+12,2.0156E+12,1.3337E+12,2619576486,1.81034E+12,1.35816E+12,8.57755E+12
1998,3.06036E+12,2.07946E+12,1.4059E+12,2604579863,1.94393E+12,1.42384E+12,9.06282E+12
1999,3.34259E+12,2.15851E+12,1.47052E+12,2720397560,2.14644E+12,1.45719E+12,9.63066E+12
2000,3.70749E+12,2.23638E+12,1.58947E+12,2743281082,2.27871E+12,1.54178E+12,1.02523E+13
2001,4.10479E+12,2.33712E+12,1.68742E+12,2867358220,2.44102E+12,1.59786E+12,1.05818E+13
2002,4.55044E+12,2.4069E+12,1.76293E+12,2945703205,2.57396E+12,1.63968E+12,1.09364E+13
2003,5.1001E+12,2.46571E+12,1.75166E+12,2981438378,2.82784E+12,1.67152E+12,1.14582E+13
2004,5.76697E+12,2.5832E+12,1.82057E+12,3109570254,3.13405E+12,1.70332E+12,1.22137E+13
2005,6.62427E+12,2.62204E+12,1.92688E+12,3143875455,3.48773E+12,1.74666E+12,1.30366E+13
2006,7.6928E+12,2.81109E+12,2.06355E+12,3405164405,3.88292E+12,1.88502E+12,1.38146E+13
2007,9.02365E+12,2.98235E+12,2.18221E+12,3742087936,4.29269E+12,1.99323E+12,1.44519E+13
2008,1.00873E+13,3.10396E+12,2.25926E+12,3890283120,4.51126E+12,2.08972E+12,1.47128E+13
2009,1.11196E+13,3.01592E+12,2.24437E+12,4059183190,4.90303E+12,2.04529E+12,1.44489E+13
2010,1.24457E+13,3.18517E+12,2.33449E+12,4276432279,5.38166E+12,2.08394E+12,1.49921E+13
2011,1.39191E+13,3.41502E+12,2.44648E+12,4592610458,5.78204E+12,2.17317E+12,1.55426E+13
2012,1.53011E+13,3.48723E+12,2.474E+12,4927662768,6.21447E+12,2.17238E+12,1.6197E+13
2013,1.67791E+13,3.62856E+12,2.60852E+12,5265734807,6.72735E+12,2.18738E+12,1.67848E+13
2014,1.83445E+13,3.80711E+12,2.66203E+12,5574511442,7.36257E+12,2.20026E+12,1.75217E+13
2015,1.9821E+13,3.89513E+12,2.71922E+12,5806236810,8.03633E+12,2.24152E+12,1.82193E+13
2016,2.13876E+13,4.07758E+12,2.81127E+12,6067141174,8.78792E+12,2.37529E+12,1.87072E+13
2017,2.32668E+13,4.30274E+12,2.95918E+12,6312295985,9.59684E+12,2.49411E+12,1.94854E+13
2018,2.53987E+13,4.40136E+12,3.03736E+12,6731168974,1.05002E+13,2.52787E+12,2.05443E+13